"M_range","Site","Plot","Z","Type","Essence","Diameter","Position","Contact","Sap_max","P_Bux","X","Y"
"Massif_central","M2","M2",1442.52381,"Souche","Résineux",50,NA,NA,"2","0",683918.358739296,6440821.76380214
"Massif_central","M2","M2",1451,"Souche","Résineux",65,NA,NA,"2","0",683920.08451585,6440819.53807135
"Massif_central","M2","M2",1443,"Bois mort au sol","Résineux",0,"Autre","Partiel","3","0",683927.326872027,6440820.07465331
"Massif_central","M2","M2",1446,"Bois mort au sol","Résineux",35,"Perpandiculaire","Partiel","3","1",683918.96970468,6440814.54310882
"Massif_central","M2","M2",1446,"Souche","Résineux",52,NA,NA,"4","0",683919.289700256,6440816.54141966
"Massif_central","M2","M2",1448.190476,"Bois mort au sol","Résineux",22,"Perpandiculaire","Partiel","2","0",683914.580869338,6440821.77357905
"Massif_central","M2","M2",1449.52381,"Souche","Résineux",80,NA,NA,"2","0",683922.815941601,6440810.53488005
"Massif_central","M2","M2",1450.666667,"Bois mort au sol","Résineux",35,"Autre","Total","2","0",683925.805324444,6440809.97183113
"Massif_central","M2","M2",1452.809524,"Bois mort au sol","Résineux",20,"Autre","Total","2","0",683923.280419065,6440807.53497022
"Massif_central","M2","M2",1455.952381,"Bois mort au sol","Résineux",20,"Autre","Total","2","0",683927.613833893,6440809.30077419
"Massif_central","M2","M2",1456.904762,"Souche","Résineux",60,NA,NA,"4","0",683928.005639501,6440808.63338131
"Massif_central","M2","M2",1454.190476,"Bois mort au sol","Résineux",30,"Autre","Total","2","0",683918.005980595,6440807.10436352
"Massif_central","M2","M2",1452,"Bois mort au sol","Résineux",62,"Perpandiculaire","Total","4","0",683917.925550404,6440806.43819202
"Massif_central","M2","M2",1455.666667,"Souche","Résineux",58,NA,NA,"3","0",683915.785546699,6440800.66843997
"Massif_central","M2","M2",1454,"Bois mort au sol","Résineux",25,"Axe de pente","Partiel","4","0",683916.111292575,6440804.88800126
"Massif_central","M2","M2",1469.952381,"Bois mort au sol","Résineux",32,"Autre","Partiel","5","0",683915.473884979,6440801.89094257
"Massif_central","M2","M2",1470,"Bois mort au sol","Résineux",28,"Autre","Partiel","4","0",683920.357959586,6440803.5442531
"Massif_central","M2","M2",1471.238095,"Souche","Résineux",65,NA,NA,"3","0",683921.063438874,6440802.43179514
"Massif_central","M2","M2",1463,"Bois mort au sol","Résineux",24,"Autre","Total","3","0",683921.641941195,6440782.66103569
"Massif_central","M2","M2",1457,"Bois mort au sol","Résineux",23,"Autre","Partiel","2","0",683927.233809663,6440784.09039409
"Massif_central","M2","M2",1459,"Bois mort au sol","Résineux",27,"Autre","Absent","2","0",683927.707195155,6440784.53342295
"Massif_central","M2","M2",1459,"Souche","Résineux",72,NA,NA,"3","0",683925.820546898,6440785.42680854
"Massif_central","M2","M2",1462,"Bois mort au sol","Résineux",23,"Perpandiculaire","Total","5","0",683932.975335288,6440782.52066217
"Massif_central","M2","M2",1459.952381,"Bois mort au sol","Résineux",34,"Autre","Total","3","0",683934.321952436,6440785.84907921
"Massif_central","M2","M2",1460,"Souche","Résineux",60,NA,NA,"3","0",683941.480474963,6440784.38675557
"Massif_central","M2","M2",1445,"Souche","Résineux",62,NA,NA,"3","0",683918.837870195,6440824.42808073
"Massif_central","M2","M2",1447,"Bois mort au sol","Résineux",36,"Perpandiculaire","Total","4","0",683920.570255237,6440824.75678811
"Massif_central","M2","M2",1445,"Bois mort au sol","Résineux",35,"Perpandiculaire","Total","4","0",683922.848694904,6440823.19600783
"Massif_central","M2","M2",1447.380952,"Bois mort au sol","Résineux",24,"Axe de pente","Total","4","0",683921.274582784,6440823.20008013
"Massif_central","M2","M2",1456,"Bois mort au sol","Résineux",20,"Axe de pente","Total","2","0",683922.996050376,6440819.30841231
"Massif_central","M2","M2",1461,"Bois mort au sol","Résineux",29,"Axe de pente","Total","4","0",683922.367841725,6440819.86535378
