"Site","Term","Estimate","Std_Error","Z_value","P_value"
"M2","(Intercept)",-8.9644,0.6693,-13.394,0
"M2","dens10",0.4816,0.2136,2.255,0.0241
"M2","alt",0.7216,0.2576,2.802,0.0051
"M2","sap",2.239,0.3835,5.839,0
"M3","(Intercept)",-7.5218,0.2856,-26.339,0
"M3","dens10",0.3139,0.1138,2.758,0.0058
"M3","alt",0.2237,0.0809,2.767,0.0057
"M3","sap",1.5399,0.1377,11.186,0
"M4","(Intercept)",-8.2095,0.4653,-17.643,0
"M4","dens10",0.3648,0.1277,2.858,0.0043
"M4","alt",0.0528,0.1498,0.353,0.7242
"M4","sap",1.6197,0.2791,5.803,0
"M5","(Intercept)",-8.954,0.8687,-10.307,0
"M5","dens10",0.3773,0.1761,2.143,0.0321
"M5","alt",-0.3729,0.2353,-1.585,0.113
"M5","sap",2.4427,0.6018,4.059,0
